rank,name,slug,active_installs,rating_pct,rating_5star,num_ratings,editor_support,last_updated,requires_wp,tested_up_to,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
818,Site URL Shortcode,site-url-shortcode,100,20,1.0,1,Editor-agnostic,2017-05-01 5:58pm GMT,4.0,4.7.33,https://wordpress.org/plugins/site-url-shortcode/,,,https://wordpress.org/plugins/site-url-shortcode/,0,0,,,,,
819,Purchase Redirect for WooCommerce,purchase-redirect-for-woocommerce,100,60,3.0,2,Editor-agnostic,2026-02-01 11:03am GMT,5.1,6.9.4,,,,https://wordpress.org/plugins/purchase-redirect-for-woocommerce/,0,0,,,,,"order, purchase, redirect, thank you, woocommerce"
820,Player Barra WebRadio,player-barra-webradio,100,60,3.0,2,Editor-agnostic,2018-11-07 7:24pm GMT,3.0,4.9.29,,,,https://wordpress.org/plugins/player-barra-webradio/,0,0,,,,,"audio player, barra player, player, radio, webradio"
821,RSS Blogroll,rss-blogroll,100,46,2.3,3,Editor-agnostic,2015-08-02 5:10am GMT,2.8,4.2.39,http://wordpress.org/extend/plugins/rss-blogroll/,,,https://wordpress.org/plugins/rss-blogroll/,0,0,,,,,"blogroll, rss, sidebar, widget"
822,Awesome Fontawesome Collection,awesome-fontawesome-collection,100,30,1.5,2,Editor-agnostic,2019-11-19 9:43am GMT,4.0,5.3.21,http://www.phoeniixx.com/,,,https://wordpress.org/plugins/awesome-fontawesome-collection/,0,0,,,,,"FontAwesome, awesome, collection, font, icon"
823,Bootstrap,bootstrap,100,40,2.0,2,Editor-agnostic,2013-05-11 6:51am GMT,3.0,3.6.1,,,,https://wordpress.org/plugins/bootstrap/,0,0,,,,,"css, stylesheet, theme, twitter bootstrap"
824,No Comment Links,no-comment-links,100,60,3.0,2,Editor-agnostic,2016-12-08 2:54pm GMT,1.5,4.8.28,http://aaron-kelley.net/tech/wordpress/plugin-nolinks/,,,https://wordpress.org/plugins/no-comment-links/,0,0,,,,,"comment, comments, links, url"
825,WP Youtube channel gallery,wp-youtube-channel-gallery,100,60,3.0,2,Editor-agnostic,2011-07-12 2:04pm GMT,2.1,3.0.5,http://brunotnteixeira.wordpress.com/2010/11/07/update-to-2-0-version-of-wp-youtube-channel-gallery/,,,https://wordpress.org/plugins/wp-youtube-channel-gallery/,0,0,,,,,"channel, listar, youtube, youtube gallery, yt"
826,Smart Image Gallery,photoshow,100,60,3.0,2,Editor-agnostic,2025-11-29 12:20am GMT,3.0.5,6.9.4,https://wordpress.dwbooster.com/galleries/smart-image-gallery,,,https://wordpress.org/plugins/photoshow/,1,0,,,2024-07-15,CWE-352,"album, gallery, image, image gallery, photo"
827,Recent Posts block,recent-posts-block,100,20,1.0,1,Blocks+Classic,2020-03-19 5:02am GMT,,5.4.19,https://github.com/BRdhanani/gutenberg-recent-posts,https://github.com/BRdhanani/gutenberg-recent-posts,official,https://wordpress.org/plugins/recent-posts-block/,0,0,,,,,"block, gutenberg, recent posts"
828,PiwigoMedia,piwigomedia,100,60,3.0,4,Editor-agnostic,2014-10-06 1:09pm GMT,3.0.1,4.0.38,http://joaoubaldo.com,,,https://wordpress.org/plugins/piwigomedia/,0,0,,,,,"gallery, integration, media, piwigo"
829,WP FAQ,wp-faqs,100,60,3.0,2,Editor-agnostic,2018-12-22 10:44am GMT,3.8,5.0.25,https://wordpress.org/plugins/wp-faqs/,,,https://wordpress.org/plugins/wp-faqs/,0,0,,,,,"Accordian faqs, faq, simple faqs, toggle, wp faq"
830,Humix for WordPress,humix,100,20,1.0,1,Editor-agnostic,2025-10-27 3:38pm GMT,5.8.0,6.8.5,https://wordpress.org/plugins/humix,,,https://wordpress.org/plugins/humix/,0,0,,,,,"embed, humix, network, video"
831,Add Twitter Pixel for Twitter ads,add-twitter-pixel,100,40,2.0,1,Editor-agnostic,2026-01-16 11:33pm GMT,4.1,6.9.4,,,,https://wordpress.org/plugins/add-twitter-pixel/,5,0,6.3,Medium,2024-10-16,CWE-862,"Twitter ads, retargeting, twitter"
832,Login with Username or Email,login-with-username-or-email,100,52,2.6,5,Editor-agnostic,2016-03-14 4:54pm GMT,3.0.1,4.4.34,https://www.bcswebsitesolutions.com/downloads/login-with-username-or-email/,,,https://wordpress.org/plugins/login-with-username-or-email/,0,0,,,,,"email, login, login with email address, login with email or username, username"
833,ACF Repeater Editor Accordion,acf-repeater-editor-accordion,100,60,3.0,1,Editor-agnostic,2015-09-21 10:24am GMT,3.0,4.3.34,jeremywaraksa.com,,,https://wordpress.org/plugins/acf-repeater-editor-accordion/,0,0,,,,,"acf, advanced custom fields, collapse, repeater"
834,Testimonial Block,wp-testimonial-block,100,20,1.0,1,Blocks+Classic,2021-08-03 5:25pm GMT,5.3.2,5.8.0,,https://github.com/AchalJ/testimonial-block,official,https://wordpress.org/plugins/wp-testimonial-block/,0,0,,,,,"block, gutenberg testimonial, review, testimonial block"
835,Stylish Links,stylish-links,100,60,3.0,4,Editor-agnostic,2020-08-26 3:25pm GMT,3.8,5.5.18,https://wordpress.org/plugins/stylish-links,,,https://wordpress.org/plugins/stylish-links/,0,0,,,,,"anchor links, animated links, link hovers, link icons, links"
836,Subtitle,subtitle,100,60,3.0,2,Editor-agnostic,2013-05-01 3:18am GMT,3.5.1,3.5.2,http://nskw-style.com/2013/wordpress/plugin-downloads/subtitle.html ‎,https://github.com/ShinichiNishikawa/subtitle,official,https://wordpress.org/plugins/subtitle/,0,0,,,,,"custom field, subtitle"
837,Google Font,fonts-add,100,36,1.8,5,Editor-agnostic,2016-10-02 3:55pm GMT,3.6,4.8.28,,,,https://wordpress.org/plugins/fonts-add/,0,0,,,,,"Theme Fonts, font changer, fonts, google, google fonts"
838,WP Resume,wp-resume,100,46,2.3,6,Editor-agnostic,2014-12-28 8:39pm GMT,3.3,3.6.1,http://ben.balter.com/2010/09/12/wordpress-resume-plugin/,https://github.com/benbalter/WP-Resume,official,https://wordpress.org/plugins/wp-resume/,0,0,,,,,"education, experience, online reputation, personal branding, resume"
839,Visitor Maps Extended Referer Field,visitor-maps-extended-referer-field,100,60,3.0,3,Editor-agnostic,2014-03-02 7:18pm GMT,2.8.4,3.7.41,http://jasonlau.biz,,,https://wordpress.org/plugins/visitor-maps-extended-referer-field/,1,1,,,2026-02-20,,"map, maps, visitor, who, whos"
840,Kinescope,kinescope,100,46,2.3,3,Blocks+Classic,2025-04-11 8:40pm GMT,5.3,6.7.5,,,,https://wordpress.org/plugins/kinescope/,0,0,,,,,"blocks, kinescope, video"
841,EngageBay Forms – Simple and Powerful Forms to Capture and Nurture Leads,engagebay-forms,100,20,1.0,1,Editor-agnostic,2025-07-14 11:21am GMT,3.7,6.8.5,https://wordpress.org/plugins/engagebay-forms,,,https://wordpress.org/plugins/engagebay-forms/,0,0,,,,,"contact form, contact form plugin, form, form builder, forms"
842,Payment Gateway Payeezy for WooCommerce,fd-payments-for-woo,100,46,2.3,4,Editor-agnostic,2023-09-06 10:53pm GMT,4.0,6.3.8,https://www.cardpaysolutions.com/woocommerce?pid=83cf9aa647bc5b4e,,,https://wordpress.org/plugins/fd-payments-for-woo/,0,0,,,,,"first data, payeezy, woocommerce, woocommerce first data, woocommerce payeezy"
843,GreenPay(tm) by Green.Money,green-money-payment-gateway,100,34,1.7,6,Editor-agnostic,2026-03-12 1:56pm GMT,,6.8.5,,,,https://wordpress.org/plugins/green-money-payment-gateway/,1,0,,,2025-04-08,,
844,Video & Photo Gallery for Ultimate Member,gallery-for-ultimate-member,100,46,2.3,12,Editor-agnostic,2025-01-23 3:58am GMT,5.2,6.7.5,https://suiteplugins.com/,,,https://wordpress.org/plugins/gallery-for-ultimate-member/,4,1,9.9,Critical,2025-04-04,CWE-434; CWE-79; CWE-89; CWE-918,"Ultimate Member, ultimate member gallery, ultimatemember, um gallery, video gallery ultimate member"
845,Client Partner Showcase,client-partner-showcase,100,20,1.0,2,Editor-agnostic,2023-11-22 9:15am GMT,3.5.1,6.4.8,https://blogwpthemes.com/,,,https://wordpress.org/plugins/client-partner-showcase/,0,0,,,,,"Client, logo carousal, partner, sponsors"
846,Relais Colis Officiel,relais-colis-officiel,100,40,2.0,1,Editor-agnostic,2026-02-24 11:16am GMT,6.6,6.9.4,https://www.relaiscolis.com/,,,https://wordpress.org/plugins/relais-colis-officiel/,0,0,,,,,"Relais Colis, woocommerce"
847,WP Live CSS Editor,wp-live-css-editor,100,50,2.5,10,Editor-agnostic,2013-09-28 5:14am GMT,2.7,3.6.1,http://www.flashdance.es/dontpanic/doku.php?id=wp-live-css-editor,,,https://wordpress.org/plugins/wp-live-css-editor/,0,0,,,,,"css, designer, developer, editor"
848,Pricing Table builder – Price List,wpdevart-pricing-table,100,60,3.0,2,Editor-agnostic,2026-02-02 9:22pm GMT,3.4.0,6.9.4,https://wpdevart.com/wordpress-pricing-table-plugin/,,,https://wordpress.org/plugins/wpdevart-pricing-table/,1,1,,,2025-10-27,,"Comparison Tables, price list, price table, pricing table, responsive pricing table"
849,Pix 4x sem juros – Pagaleve,wc-pagaleve,100,60,3.0,1,Editor-agnostic,2026-02-26 7:03pm GMT,4.7,6.8.5,,,,https://wordpress.org/plugins/wc-pagaleve/,1,0,9.8,Critical,2025-05-23,CWE-502,"checkout, gateway, pagaleve, payments, woocommerce"
850,Custom Thank You Page Per Product for WC,custom-thank-you-page-per-product-for-wc,100,60,3.0,6,Editor-agnostic,2016-11-23 8:01am GMT,4.0,4.7.33,https://carinotech.com,,,https://wordpress.org/plugins/custom-thank-you-page-per-product-for-wc/,0,0,,,,,"customthankyoupage, thankyoupage, upsell, woocommerce"
851,Politica de Privacidad 1.0,politica-de-privacidad-10,100,60,3.0,2,Editor-agnostic,2012-02-08 9:30pm GMT,,,http://homerogarza.netau.net/politica-de-privacidad/plugin-politica-de-privacidad-para-wordpress/,,,https://wordpress.org/plugins/politica-de-privacidad-10/,0,0,,,,,
852,iThink Logistics eCommerce shipping in India,ithink-logistics-ecommerce-shipping-in-india,100,46,2.3,3,Editor-agnostic,2023-04-28 5:55am GMT,4.8,6.1.10,,,,https://wordpress.org/plugins/ithink-logistics-ecommerce-shipping-in-india/,0,0,,,,,
853,Nelio Session Recordings,nelio-session-recordings,100,20,1.0,1,Editor-agnostic,2026-01-29 12:58pm GMT,6.6,6.9.4,https://neliosoftware.com/session-recordings/,,,https://wordpress.org/plugins/nelio-session-recordings/,0,0,,,,,"analytics, insights, mouseflow, recordings, sessions"
854,Press This Reloaded,press-this-reloaded,100,56,2.8,4,Editor-agnostic,2013-04-07 11:24pm GMT,3.4,3.5.2,http://wordpress.org/extend/plugins/press-this-reloaded/,,,https://wordpress.org/plugins/press-this-reloaded/,0,0,,,,,"Bookmarklet, press-this, pressthis"
855,Dropshipping on Alibaba.com,alibaba,100,50,2.5,8,Editor-agnostic,2021-11-01 6:31am GMT,5.4,5.7.15,,,,https://wordpress.org/plugins/alibaba/,0,0,,,,,"alibaba, dropshipper, dropshipping, ecommerce, suppliers"
856,Onclick Popup,onclick-popup,100,60,3.0,3,Editor-agnostic,2023-10-29 2:11pm GMT,3.5,6.4.8,http://www.gopiplus.com/work/2011/11/13/wordpress-plugin-onclick-popup/,,,https://wordpress.org/plugins/onclick-popup/,0,0,,,,,"onclick, popup, widget"
