rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,requires_wp,tested_up_to,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
239,Burst Statistics – Privacy-Friendly WordPress Analytics (Google Analytics Alternative),burst-statistics,200000,98,4.9,Editor-agnostic,2026-03-12 7:52am GMT,6.4,6.9.4,https://www.wordpress.org/plugins/burst-statistics,https://github.com/Burst-Statistics/burst-statistics,official,https://wordpress.org/plugins/burst-statistics/,4,0,9.8,Critical,2025-06-27,CWE-352; CWE-79; CWE-89,"GDPR, analytics, privacy, statistics, stats"
240,FileBird – WordPress Media Library Folders & File Manager,filebird,200000,94,4.7,Editor-agnostic,2026-01-12 1:15pm GMT,3.0,6.9.4,https://ninjateam.org/wordpress-media-library-folders/,,,https://wordpress.org/plugins/filebird/,12,0,,,2025-12-15,,"WordPress media library folders, file manager, media, media folders, wp media folders"
241,FileOrganizer – WordPress File Manager,fileorganizer,200000,96,4.8,Editor-agnostic,2025-12-05 12:43pm GMT,5.5,6.9.4,https://wordpress.org/plugins/fileorganizer/,,,https://wordpress.org/plugins/fileorganizer/,5,0,7.5,High,2024-12-07,CWE-22; CWE-284; CWE-434; CWE-79; CWE-922,"FileOrganizer, file explorer, file manager, upload files, wordpress file manager"
242,Table of Contents Plus,table-of-contents-plus,200000,88,4.4,Editor-agnostic,2024-11-21 1:15pm GMT,3.2,6.7.5,,https://github.com/zedzedzed/table-of-contents-plus,official,https://wordpress.org/plugins/table-of-contents-plus/,7,0,,,2024-11-05,,"cms, indexes, sitemap, table of contents, toc"
243,WP Consent API,wp-consent-api,200000,100,5.0,Editor-agnostic,2026-03-12 9:27am GMT,5.0,6.9.4,https://wordpress.org/plugins/wp-consent-api,https://github.com/rlankhorst/consent-api-example-plugin,official,https://wordpress.org/plugins/wp-consent-api/,0,0,,,,,"api, compliance, consent, cookies, privacy"
244,Widget Importer & Exporter,widget-importer-exporter,200000,94,4.7,Editor-agnostic,2025-12-01 4:14pm GMT,3.5,6.9.4,https://churchthemes.com/plugins/widget-importer-exporter/,https://github.com/churchthemes/widget-importer-exporter,official,https://wordpress.org/plugins/widget-importer-exporter/,0,0,,,,,"exporter, import, importer, widget, widgets"
245,"UserFeedback – Create Interactive Feedback Form, User Surveys, and Polls in Seconds",userfeedback-lite,200000,96,4.8,Editor-agnostic,2026-03-11 7:11pm GMT,5.9.0,6.9.4,https://www.userfeedback.com/lite?utm_source=liteplugin&utm_medium=pluginlist,https://github.com/awesomemotive/userfeedback-lite,official,https://wordpress.org/plugins/userfeedback-lite/,7,1,,,2025-12-24,,"analytics, feedback, surveys, user feedback, website feedback"
246,"Spam protection, Honeypot, Anti-Spam by CleanTalk",cleantalk-spam-protect,200000,96,4.8,Editor-agnostic,2026-03-19 6:55am GMT,4.7,6.9.4,https://cleantalk.org,https://github.com/CleanTalk/wordpress-antispam,official,https://wordpress.org/plugins/cleantalk-spam-protect/,15,0,,,2024-12-27,,"antispam, captcha, comments, contact form, spam"
247,Skyboot Custom Icons for Elementor,skyboot-custom-icons-for-elementor,200000,100,5.0,Editor-agnostic,2025-10-03 5:41am GMT,5.9,6.8.5,https://skybootstrap.com/custom-icons-for-elementor/,https://github.com/WordpressPluginDirectory/skyboot-custom-icons-for-elementor,official,https://wordpress.org/plugins/skyboot-custom-icons-for-elementor/,0,0,,,,,"custom icons, elementor, elementor icons, icon fonts, icons"
248,"Fonts Plugin | Use Google Fonts, Adobe Fonts or Upload Fonts",olympus-google-fonts,200000,100,5.0,Editor-agnostic,2026-02-02 3:22pm GMT,4.0,6.9.4,https://wordpress.org/plugins/olympus-google-fonts/,https://github.com/common-repository/olympus-google-fonts,mirror,https://wordpress.org/plugins/olympus-google-fonts/,3,0,7.1,High,2024-11-01,CWE-352; CWE-79; CWE-862,"Typekit Fonts, adobe fonts, custom fonts, google fonts, upload fonts"
249,Query Monitor – The developer tools panel for WordPress,query-monitor,200000,98,4.9,Editor-agnostic,2026-03-19 5:11pm GMT,6.1,6.9.4,https://querymonitor.com/,https://github.com/johnbillion/query-monitor,official,https://wordpress.org/plugins/query-monitor/,0,0,,,,,"debug, debug bar, development, performance, query monitor"
250,User Switching,user-switching,200000,98,4.9,Editor-agnostic,2026-02-27 12:17am GMT,6.1,6.9.4,https://wordpress.org/plugins/user-switching/,https://github.com/johnbillion/user-switching,official,https://wordpress.org/plugins/user-switching/,0,0,,,,,"fast user switching, multisite, user switching, users, woocommerce"
251,Qi Addons For Elementor,qi-addons-for-elementor,200000,96,4.8,Editor-agnostic,2026-03-09 11:15am GMT,5.0,6.9.4,https://qodeinteractive.com/qi-addons-for-elementor/,,,https://wordpress.org/plugins/qi-addons-for-elementor/,10,0,,,2025-02-04,,"addons, elementor, elementor addons, elementor elements, elementor widgets"
252,InfiniteWP Client,iwp-client,200000,88,4.4,Editor-agnostic,2026-02-26 10:35am GMT,3.1,6.9.4,http://infinitewp.com/,,,https://wordpress.org/plugins/iwp-client/,13,0,,,2025-01-08,,"Multiple admin, backup, multi-site, security, updates"
253,Optimole – Optimize Images in Real Time,optimole-wp,200000,94,4.7,Editor-agnostic,2026-03-25 10:54am GMT,5.5,6.9.4,,https://github.com/Codeinwp/optimole-wp,official,https://wordpress.org/plugins/optimole-wp/,3,0,6.4,Medium,2025-10-18,CWE-639; CWE-79,"convert webp, image optimization, image optimizer, lazy load, optimize images"
254,Layout Grid Block,layout-grid,200000,94,4.7,Blocks+Classic,2023-07-11 4:52pm GMT,5.8,6.2.9,,https://github.com/automattic/block-experiments,official,https://wordpress.org/plugins/layout-grid/,0,0,,,,,"block, blocks, design, grid, layout"
255,Astra Widgets,astra-widgets,200000,78,3.9,Editor-agnostic,2026-03-25 5:19am GMT,4.7,6.9.4,https://wpastra.com/,,,https://wordpress.org/plugins/astra-widgets/,3,1,,,2025-12-24,,"Add widget, Social profile widget, address widget, list icon widget, social media"
256,Nextend Social Login and Register,nextend-facebook-connect,200000,98,4.9,Editor-agnostic,2026-02-23 9:51am GMT,4.9,6.9.4,https://social-login.nextendweb.com/,,,https://wordpress.org/plugins/nextend-facebook-connect/,7,1,,,2025-11-28,,"facebook, google, social login, twitter, x"
257,Firelight Lightbox,easy-fancybox,200000,96,4.8,Editor-agnostic,2026-03-13 7:42pm GMT,5.0,6.9.4,https://firelightwp.com,,,https://wordpress.org/plugins/easy-fancybox/,5,0,,,2025-06-20,,"gallery, image, lightbox, modal, photo"
258,Header and Footer Scripts,header-and-footer-scripts,200000,92,4.6,Editor-agnostic,2026-02-01 5:02am GMT,4.6,6.9.4,https://github.com/anandkumar/header-and-footer-scripts,https://github.com/anandkumar/header-and-footer-scripts,official,https://wordpress.org/plugins/header-and-footer-scripts/,1,1,6.4,Medium,2026-01-09,CWE-79,"footer, head, header, post, scripts"
259,iubenda | All-in-one Compliance for GDPR / CCPA Cookie Consent + more,iubenda-cookie-law-solution,200000,94,4.7,Editor-agnostic,2026-03-11 1:35pm GMT,5.0,6.9.4,https://www.iubenda.com,,,https://wordpress.org/plugins/iubenda-cookie-law-solution/,5,0,,,2023-01-02,,"CCPA, GDPR, Privacy Policy, cookie banner, terms and conditions"
260,"Ultimate Member – User Profile, Registration, Login, Member Directory, Content Restriction & Membership Plugin",ultimate-member,200000,88,4.4,Editor-agnostic,2026-02-10 1:30pm GMT,6.2,6.9.4,http://ultimatemember.com/,https://github.com/ultimatemember/ultimatemember,official,https://wordpress.org/plugins/ultimate-member/,88,1,,,2025-12-21,,"User Registration, community, member, membership, user profile"
261,"SureMail – SMTP and Email Logs Plugin with Amazon SES, Postmark, and Other Providers",suremails,200000,96,4.8,Editor-agnostic,2026-02-27 9:21am GMT,5.4,6.9.4,https://suremails.com,,,https://wordpress.org/plugins/suremails/,1,0,8.1,High,2025-12-02,CWE-434,"email, email logs, gmail smtp, outlook, smtp"
262,"Popup Builder – Create highly converting, mobile friendly marketing popups.",popup-builder,200000,94,4.7,Editor-agnostic,2026-01-22 5:07am GMT,4.2,6.9.4,https://popup-builder.com,,,https://wordpress.org/plugins/popup-builder/,27,0,,,2026-02-19,,"pop up, popup, popup builder, popup maker, wordpress popup"
263,PHP Compatibility Checker,php-compatibility-checker,200000,54,2.7,Editor-agnostic,2023-12-14 3:29pm GMT,5.6,6.4.8,https://wpengine.com,https://github.com/wpengine/phpcompat,official,https://wordpress.org/plugins/php-compatibility-checker/,1,0,5.4,Medium,2023-07-11,CWE-352,"compat, php, php 7, php 8, version"
264,"MalCare WordPress Security Plugin – Malware Scanner, Cleaner, Security Firewall",malcare-security,200000,86,4.3,Editor-agnostic,2026-03-23 9:11am GMT,4.0,6.9.4,https://www.malcare.com,,,https://wordpress.org/plugins/malcare-security/,1,0,,,2021-05-05,,"firewall, malware removal, malware scanner, vulnerabilities, wordpress security"
265,Page Optimize,page-optimize,200000,60,3.0,Editor-agnostic,2026-02-12 7:35pm GMT,5.3,6.9.4,https://wordpress.org/plugins/page-optimize/,https://github.com/Automattic/page-optimize,official,https://wordpress.org/plugins/page-optimize/,0,0,,,,,performance
